catalog_row,metric_param_name,corrected_primary_source,final_status,disposition,match_detail
763,NET-FW-VER,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
764,OS-VERSION,NVOS gNMI explicit allowlist,IMPLEMENTED,implemented,gnmi platform-general/versions/state/nos-version -> platform_os_version_info
765,OS-KERNEL,source-equivalent required; no new CLI collector by default,ABSENT-BLOCKER,blocker,no live token match (CLI-only)
766,EROT-FW-VERSION,NVOS gNMI explicit allowlist,IMPLEMENTED,implemented,gnmi platform-general/versions/state/fw-version-erot -> platform_erot_version_info
767,BMC-VERSION,NVOS gNMI explicit allowlist,IMPLEMENTED,implemented,gnmi platform-general/versions/state/fw-version-bmc -> platform_bmc_version_info
794,LINK-DOWNED-COUNTER,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
795,PORT-MALFORMED-PACKET-ERRORS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
796,PORT-NEIGHBOR-MTU-DISCARDS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
797,PORT-RCV-ERRORS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
798,PORT-XMIT-DISCARDS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
799,PORT-RCV-REMOTE-PHYSICAL-ERRORS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
800,PORT-RCV-SWITCH-RELAY-ERRORS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
801,QP1Dropped,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
802,VL15-DROPPED,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
804,SERIAL,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
806,NODE-GUID,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
807,PORT-GUID,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
834,@pshima@nvidia.com should be called PORT-PHYSICAL-STATE -Ziv Hillel IL NVLINK-STATUS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
846,LINK-ERROR-RECOVERY-COUNTER,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
847,PORT-MULTICAST-RCV-PKTS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
848,PORT-MULTICAST-XMIT-PKTS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
849,PORT-RCV-DATA,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
850,PORT-RCV-PKTS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
851,PORT-UNICAST-RCV-PKTS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
852,PORT-UNICAST-XMIT-PKTS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
853,PORT-XMIT-DATA,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
854,PORT-XMIT-PKTS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
855,PORT-XMIT-WAIT,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
862,CONTACT,NVOS gNMI explicit allowlist,IMPLEMENTED,implemented,gnmi info metric platform_contact_info (emits when set)
863,LOCATION,NVOS gNMI explicit allowlist,IMPLEMENTED,implemented,gnmi info metric platform_location_info (emits when set)
864,NODE-DESCRIPTION,NVOS gNMI explicit allowlist,IMPLEMENTED,implemented,gnmi info metric platform_node_description_info
865,LID,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
866,PORT-NUMBER,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
867,PORT-LABEL,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
868,REVISION,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
869,DEVICE-HARDWARE-REVISION,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
870,CPU_CORE_NUMBER,NVOS CLI only (nv show system cpu); no live gNMI/NMX-T source,ABSENT-BLOCKER,blocker,false token match (gnmi core-to-phy-link-width-enabled is a link knob not a CPU core count); not emitted
872,ASIC-TEMP-CRITICAL,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
873,ASIC-TEMP-MAX,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
874,ASIC-TEMP-STATE,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
875,ASIC-TEMP-CURRENT,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
876,ASIC-NAME,NVOS gNMI explicit allowlist,IMPLEMENTED,implemented,covered by component_name label on component metrics
879,AMBIENT-MNG-TEMP-STATE,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
880,AMBIENT-MNG-TEMP-CURRENT,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature .current (corrected from gNMI rescue)
881,CPU_PACK_TEMP_CRITICAL,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
882,CPU_PACK_TEMP_MAX,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
883,CPU_PACK_TEMP_STATE,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
884,CPU_PACK_TEMP_CURRENT,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature .current (corrected from gNMI rescue)
885,CPU-UTIL,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
886,MEM-UTIL,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
887,MEM-TOTAL-SIZE,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
888,DISK-TOTAL-SIZE,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
889,DISK-USED,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
890,SODIMM_TEMP_CRITICAL,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
891,SODIMM_TEMP_MAX,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
892,SODIMM_TEMP_STATE,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature (.crit/.max/.state)
893,SODIMM_TEMP_CURRENT,source-equivalent required; no new CLI collector by default,IMPLEMENTED,implemented,nvue rest /platform/environment/temperature .current (corrected from gNMI rescue)
894,MAX-SPEED,BMC Redfish live resource only,IMPLEMENTED,implemented,nvue rest /platform/environment/fan .max-speed
897,PORT-LOGICAL-STATE,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
898,FEC-MODE-ACTIVE,NMX-T explicit allowlist,PRESENT,implemented,nmxt label dim
899,RAW-BER,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
900,EFFECTIVE-BER,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
901,SYMBOL-BER,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
902,ZERO-HIST,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
903,PHY-RAW-ERRORS-LANE0,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
904,PHY-RAW-ERRORS-LANE1,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
905,RAW-BER-LANE0,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
906,RAW-BER-LANE1,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
907,PHY-EFFECTIVE-ERRORS,NVOS gNMI explicit allowlist,PRESENT,implemented,gnmi exact
908,PHY-SYMBOL-ERRORS,NMX-T explicit allowlist,PRESENT,implemented,nmxt family
